2023-12-24 20:26:22,730 [main.py         | 48] INFO: Start to run instance_1
2023-12-24 20:26:26,354 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 02:10:00, pre time: 2023-12-24 02:00:00
2023-12-24 20:26:26,354 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 02:10:00
2023-12-24 20:26:26,355 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 4 ongoing order items, 4 completed order items
2023-12-24 20:26:26,601 [simulate_environment.py | 253] INFO: 2023-12-24 02:10:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:26,602 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:26,602 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 02:20:00, pre time: 2023-12-24 02:10:00
2023-12-24 20:26:26,602 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 02:20:00
2023-12-24 20:26:26,603 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 4 ongoing order items, 4 completed order items
2023-12-24 20:26:26,901 [simulate_environment.py | 253] INFO: 2023-12-24 02:20:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:26,901 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:26,901 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 02:30:00, pre time: 2023-12-24 02:20:00
2023-12-24 20:26:26,901 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 02:30:00
2023-12-24 20:26:26,902 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 3 ongoing order items, 5 completed order items
2023-12-24 20:26:27,149 [simulate_environment.py | 253] INFO: 2023-12-24 02:30:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:27,149 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:27,149 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 02:40:00, pre time: 2023-12-24 02:30:00
2023-12-24 20:26:27,149 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 02:40:00
2023-12-24 20:26:27,151 [simulate_environment.py | 167] INFO: Get 3 unallocated order items, 0 ongoing order items, 8 completed order items
2023-12-24 20:26:27,397 [simulate_environment.py | 253] INFO: 2023-12-24 02:40:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:27,398 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:27,398 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 02:50:00, pre time: 2023-12-24 02:40:00
2023-12-24 20:26:27,398 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 02:50:00
2023-12-24 20:26:27,398 [simulate_environment.py | 167] INFO: Get 3 unallocated order items, 0 ongoing order items, 8 completed order items
2023-12-24 20:26:27,649 [simulate_environment.py | 253] INFO: 2023-12-24 02:50:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:27,650 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:27,650 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 03:00:00, pre time: 2023-12-24 02:50:00
2023-12-24 20:26:27,650 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 03:00:00
2023-12-24 20:26:27,650 [simulate_environment.py | 167] INFO: Get 3 unallocated order items, 0 ongoing order items, 8 completed order items
2023-12-24 20:26:27,893 [simulate_environment.py | 253] INFO: 2023-12-24 03:00:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:27,893 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:27,893 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 03:10:00, pre time: 2023-12-24 03:00:00
2023-12-24 20:26:27,893 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 03:10:00
2023-12-24 20:26:27,894 [simulate_environment.py | 167] INFO: Get 3 unallocated order items, 0 ongoing order items, 8 completed order items
2023-12-24 20:26:28,203 [simulate_environment.py | 253] INFO: 2023-12-24 03:10:00, Item 0012230002-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:28,203 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:28,203 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 03:20:00, pre time: 2023-12-24 03:10:00
2023-12-24 20:26:28,203 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 03:20:00
2023-12-24 20:26:28,204 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 1 ongoing order items, 8 completed order items
2023-12-24 20:26:28,458 [simulate_environment.py | 253] INFO: 2023-12-24 03:20:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:28,458 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:28,458 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 03:30:00, pre time: 2023-12-24 03:20:00
2023-12-24 20:26:28,458 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 03:30:00
2023-12-24 20:26:28,459 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 2 ongoing order items, 8 completed order items
2023-12-24 20:26:28,744 [simulate_environment.py | 253] INFO: 2023-12-24 03:30:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:28,750 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:28,750 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 03:40:00, pre time: 2023-12-24 03:30:00
2023-12-24 20:26:28,750 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 03:40:00
2023-12-24 20:26:28,751 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 2 ongoing order items, 8 completed order items
2023-12-24 20:26:29,058 [simulate_environment.py | 253] INFO: 2023-12-24 03:40:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:29,058 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:29,058 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 03:50:00, pre time: 2023-12-24 03:40:00
2023-12-24 20:26:29,058 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 03:50:00
2023-12-24 20:26:29,059 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 2 ongoing order items, 8 completed order items
2023-12-24 20:26:29,361 [simulate_environment.py | 253] INFO: 2023-12-24 03:50:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:29,362 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:29,362 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 04:00:00, pre time: 2023-12-24 03:50:00
2023-12-24 20:26:29,362 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 04:00:00
2023-12-24 20:26:29,362 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 2 ongoing order items, 8 completed order items
2023-12-24 20:26:29,666 [simulate_environment.py | 253] INFO: 2023-12-24 04:00:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:29,666 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:29,666 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 04:10:00, pre time: 2023-12-24 04:00:00
2023-12-24 20:26:29,666 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 04:10:00
2023-12-24 20:26:29,667 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 0 ongoing order items, 10 completed order items
2023-12-24 20:26:29,971 [simulate_environment.py | 253] INFO: 2023-12-24 04:10:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:29,971 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:29,971 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 04:20:00, pre time: 2023-12-24 04:10:00
2023-12-24 20:26:29,971 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 04:20:00
2023-12-24 20:26:29,972 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 0 ongoing order items, 10 completed order items
2023-12-24 20:26:30,221 [simulate_environment.py | 253] INFO: 2023-12-24 04:20:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:30,221 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:30,221 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 04:30:00, pre time: 2023-12-24 04:20:00
2023-12-24 20:26:30,221 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 04:30:00
2023-12-24 20:26:30,222 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 0 ongoing order items, 10 completed order items
2023-12-24 20:26:30,512 [simulate_environment.py | 253] INFO: 2023-12-24 04:30:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:30,513 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:30,513 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 04:40:00, pre time: 2023-12-24 04:30:00
2023-12-24 20:26:30,513 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 04:40:00
2023-12-24 20:26:30,514 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 0 ongoing order items, 10 completed order items
2023-12-24 20:26:30,803 [simulate_environment.py | 253] INFO: 2023-12-24 04:40:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:30,804 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:30,804 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 04:50:00, pre time: 2023-12-24 04:40:00
2023-12-24 20:26:30,804 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 04:50:00
2023-12-24 20:26:30,804 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 0 ongoing order items, 10 completed order items
2023-12-24 20:26:31,055 [simulate_environment.py | 253] INFO: 2023-12-24 04:50:00, Item 0209340006-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:31,055 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:31,055 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 05:00:00, pre time: 2023-12-24 04:50:00
2023-12-24 20:26:31,055 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 05:00:00
2023-12-24 20:26:31,056 [simulate_environment.py | 167] INFO: Get 0 unallocated order items, 1 ongoing order items, 10 completed order items
2023-12-24 20:26:31,348 [simulate_environment.py | 253] INFO: 2023-12-24 05:00:00, Item 0517240008-1: state = 0 < 2, we can not finish the simulation
2023-12-24 20:26:31,349 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:31,349 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 05:10:00, pre time: 2023-12-24 05:00:00
2023-12-24 20:26:31,349 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 05:10:00
2023-12-24 20:26:31,350 [simulate_environment.py | 167] INFO: Get 0 unallocated order items, 1 ongoing order items, 10 completed order items
2023-12-24 20:26:31,708 [simulate_environment.py | 253] INFO: 2023-12-24 05:10:00, Item 0517240008-1: state = 0 < 2, we can not finish the simulation
2023-12-24 20:26:31,708 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:31,708 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 05:20:00, pre time: 2023-12-24 05:10:00
2023-12-24 20:26:31,708 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 05:20:00
2023-12-24 20:26:31,709 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 1 ongoing order items, 10 completed order items
2023-12-24 20:26:31,951 [simulate_environment.py | 253] INFO: 2023-12-24 05:20:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:31,952 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:31,952 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 05:30:00, pre time: 2023-12-24 05:20:00
2023-12-24 20:26:31,952 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 05:30:00
2023-12-24 20:26:31,953 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 1 ongoing order items, 10 completed order items
2023-12-24 20:26:32,196 [simulate_environment.py | 253] INFO: 2023-12-24 05:30:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:32,196 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:32,196 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 05:40:00, pre time: 2023-12-24 05:30:00
2023-12-24 20:26:32,196 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 05:40:00
2023-12-24 20:26:32,197 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 0 ongoing order items, 11 completed order items
2023-12-24 20:26:32,434 [simulate_environment.py | 253] INFO: 2023-12-24 05:40:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:32,434 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:32,434 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 05:50:00, pre time: 2023-12-24 05:40:00
2023-12-24 20:26:32,434 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 05:50:00
2023-12-24 20:26:32,435 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 1 ongoing order items, 11 completed order items
2023-12-24 20:26:32,674 [simulate_environment.py | 253] INFO: 2023-12-24 05:50:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:32,674 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:32,675 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 06:00:00, pre time: 2023-12-24 05:50:00
2023-12-24 20:26:32,675 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 06:00:00
2023-12-24 20:26:32,675 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 1 ongoing order items, 11 completed order items
2023-12-24 20:26:32,916 [simulate_environment.py | 253] INFO: 2023-12-24 06:00:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:32,917 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:32,917 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 06:10:00, pre time: 2023-12-24 06:00:00
2023-12-24 20:26:32,917 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 06:10:00
2023-12-24 20:26:32,917 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 1 ongoing order items, 11 completed order items
2023-12-24 20:26:33,163 [simulate_environment.py | 253] INFO: 2023-12-24 06:10:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:33,163 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:33,163 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 06:20:00, pre time: 2023-12-24 06:10:00
2023-12-24 20:26:33,163 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 06:20:00
2023-12-24 20:26:33,164 [simulate_environment.py | 167] INFO: Get 1 unallocated order items, 1 ongoing order items, 11 completed order items
2023-12-24 20:26:33,403 [simulate_environment.py | 253] INFO: 2023-12-24 06:20:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:33,403 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:33,404 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 06:30:00, pre time: 2023-12-24 06:20:00
2023-12-24 20:26:33,404 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 06:30:00
2023-12-24 20:26:33,405 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 1 ongoing order items, 11 completed order items
2023-12-24 20:26:33,648 [simulate_environment.py | 253] INFO: 2023-12-24 06:30:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:33,648 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:33,648 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 06:40:00, pre time: 2023-12-24 06:30:00
2023-12-24 20:26:33,648 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 06:40:00
2023-12-24 20:26:33,649 [simulate_environment.py | 167] INFO: Get 3 unallocated order items, 0 ongoing order items, 12 completed order items
2023-12-24 20:26:33,889 [simulate_environment.py | 253] INFO: 2023-12-24 06:40:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:33,889 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:33,889 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 06:50:00, pre time: 2023-12-24 06:40:00
2023-12-24 20:26:33,889 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 06:50:00
2023-12-24 20:26:33,890 [simulate_environment.py | 167] INFO: Get 6 unallocated order items, 0 ongoing order items, 12 completed order items
2023-12-24 20:26:34,128 [simulate_environment.py | 253] INFO: 2023-12-24 06:50:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:34,128 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:34,128 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 07:00:00, pre time: 2023-12-24 06:50:00
2023-12-24 20:26:34,128 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 07:00:00
2023-12-24 20:26:34,129 [simulate_environment.py | 167] INFO: Get 6 unallocated order items, 0 ongoing order items, 12 completed order items
2023-12-24 20:26:34,429 [simulate_environment.py | 253] INFO: 2023-12-24 07:00:00, Item 0517240008-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:34,430 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:34,430 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 07:10:00, pre time: 2023-12-24 07:00:00
2023-12-24 20:26:34,430 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 07:10:00
2023-12-24 20:26:34,431 [simulate_environment.py | 167] INFO: Get 5 unallocated order items, 1 ongoing order items, 12 completed order items
2023-12-24 20:26:34,680 [simulate_environment.py | 253] INFO: 2023-12-24 07:10:00, Item 0625250010-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:34,681 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:34,681 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 07:20:00, pre time: 2023-12-24 07:10:00
2023-12-24 20:26:34,681 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 07:20:00
2023-12-24 20:26:34,682 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 4 ongoing order items, 12 completed order items
2023-12-24 20:26:34,976 [simulate_environment.py | 253] INFO: 2023-12-24 07:20:00, Item 0625250010-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:34,977 [simulate_environment.py | 99] INFO: **************************************************
2023-12-24 20:26:34,977 [simulate_environment.py | 103] INFO: cur time: 2023-12-24 07:30:00, pre time: 2023-12-24 07:20:00
2023-12-24 20:26:34,977 [simulate_environment.py | 140] INFO: Start to update the input of 2023-12-24 07:30:00
2023-12-24 20:26:34,977 [simulate_environment.py | 167] INFO: Get 2 unallocated order items, 4 ongoing order items, 12 completed order items
2023-12-24 20:26:35,227 [simulate_environment.py | 253] INFO: 2023-12-24 07:30:00, Item 0625250010-1: state = 1 < 2, we can not finish the simulation
2023-12-24 20:26:35,227 [simulate_environment.py | 99] INFO: **************************************************
